duration_in_days,rides_count
2,176
3,105
4,77
5,54
6,37
7,25
8,36
9,18
10,21
11,23
12,16
13,12
14,10
15,7
16,12
17,12
18,7
19,7
20,6
21,6
22,9
23,4
24,5
25,1
26,2
27,4
28,5
32,1
33,1
34,1
36,1
37,1
38,2
